,product_id,product_name,category,stock_quantity,warehouse_location,stock_status,inventory_value,date_updated
25,PRD0025,Produk_25,Kesehatan,484,Gudang A,Habis,3075856.04,2025-05-09
26,PRD0026,Produk_26,Makanan & Minuman,373,Gudang A,Habis,2623080.45,2025-05-06
27,PRD0027,Produk_27,Elektronik,463,Gudang B,Tersedia,1602426.21,2025-05-13
28,PRD0028,Produk_28,Elektronik,197,Gudang A,Tersedia,2354877.71,2025-05-04
29,PRD0029,Produk_29,Peralatan Rumah Tangga,199,Gudang A,Tersedia,2517429.48,2025-05-07
30,PRD0030,Produk_30,Peralatan Rumah Tangga,24,Gudang B,Segera Habis,1011847.16,2025-05-14
31,PRD0031,Produk_31,Pakaian,465,Gudang B,Segera Habis,1581901.76,2025-05-01
32,PRD0032,Produk_32,Makanan & Minuman,88,Gudang B,Tersedia,3959134.66,2025-05-12
33,PRD0033,Produk_33,Makanan & Minuman,267,Gudang A,Habis,4579783.31,2025-05-04
34,PRD0034,Produk_34,Otomotif,142,Gudang C,Habis,1805372.53,2025-05-05
35,PRD0035,Produk_35,Otomotif,58,Gudang C,Tersedia,1541791.69,2025-05-08
36,PRD0036,Produk_36,Otomotif,409,Gudang B,Tersedia,984033.85,2025-05-12
37,PRD0037,Produk_37,Peralatan Rumah Tangga,488,Gudang C,Tersedia,3395670.93,2025-05-02
38,PRD0038,Produk_38,Makanan & Minuman,364,Gudang B,Habis,1622267.51,2025-05-12
39,PRD0039,Produk_39,Makanan & Minuman,25,Gudang A,Segera Habis,4938870.2,2025-05-05
40,PRD0040,Produk_40,Elektronik,46,Gudang C,Habis,1635167.16,2025-05-06
41,PRD0041,Produk_41,Peralatan Rumah Tangga,287,Gudang A,Habis,1976738.87,2025-05-05
42,PRD0042,Produk_42,Kesehatan,265,Gudang C,Tersedia,3020637.64,2025-05-15
43,PRD0043,Produk_43,Peralatan Rumah Tangga,15,Gudang A,Habis,4010404.62,2025-05-13
44,PRD0044,Produk_44,Kesehatan,198,Gudang C,Habis,2352898.14,2025-05-09
45,PRD0045,Produk_45,Elektronik,400,Gudang A,Tersedia,2119053.61,2025-05-10
46,PRD0046,Produk_46,Pakaian,406,Gudang A,Tersedia,4978232.79,2025-05-01
47,PRD0047,Produk_47,Makanan & Minuman,281,Gudang C,Habis,62363.27,2025-05-14
48,PRD0048,Produk_48,Elektronik,468,Gudang A,Tersedia,4476375.79,2025-05-03
49,PRD0049,Produk_49,Makanan & Minuman,85,Gudang A,Habis,754212.72,2025-05-14
50,PRD0050,Produk_50,Otomotif,249,Gudang A,Tersedia,3931767.13,2025-05-02
51,PRD0051,Produk_51,Pakaian,390,Gudang C,Tersedia,3093478.48,2025-05-12
52,PRD0052,Produk_52,Pakaian,269,Gudang C,Habis,1715817.95,2025-05-13
53,PRD0053,Produk_53,Elektronik,334,Gudang A,Tersedia,4370636.03,2025-05-03
54,PRD0054,Produk_54,Pakaian,116,Gudang A,Tersedia,74407.07,2025-05-10
55,PRD0055,Produk_55,Kesehatan,6,Gudang C,Tersedia,1141186.35,2025-05-09
56,PRD0056,Produk_56,Pakaian,136,Gudang C,Habis,2838795.05,2025-05-13
57,PRD0057,Produk_57,Makanan & Minuman,370,Gudang A,Tersedia,1764195.88,2025-05-14
58,PRD0058,Produk_58,Makanan & Minuman,175,Gudang A,Segera Habis,3055783.7,2025-05-09
59,PRD0059,Produk_59,Makanan & Minuman,327,Gudang A,Tersedia,130309.87,2025-05-10
60,PRD0060,Produk_60,Makanan & Minuman,497,Gudang B,Segera Habis,591130.06,2025-05-02
61,PRD0061,Produk_61,Kesehatan,314,Gudang C,Segera Habis,644210.24,2025-05-14
62,PRD0062,Produk_62,Peralatan Rumah Tangga,214,Gudang B,Tersedia,954525.39,2025-05-03
63,PRD0063,Produk_63,Otomotif,476,Gudang C,Tersedia,2302063.89,2025-05-14
64,PRD0064,Produk_64,Elektronik,81,Gudang C,Tersedia,3763122.21,2025-05-04
65,PRD0065,Produk_65,Makanan & Minuman,222,Gudang C,Tersedia,4528638.8,2025-05-09
66,PRD0066,Produk_66,Pakaian,477,Gudang C,Tersedia,4178508.93,2025-05-03
67,PRD0067,Produk_67,Makanan & Minuman,371,Gudang C,Tersedia,992470.48,2025-05-13
68,PRD0068,Produk_68,Pakaian,422,Gudang C,Tersedia,2211341.26,2025-05-07
69,PRD0069,Produk_69,Otomotif,482,Gudang C,Tersedia,1005063.87,2025-05-12
70,PRD0070,Produk_70,Otomotif,401,Gudang B,Tersedia,1329714.37,2025-05-03
71,PRD0071,Produk_71,Otomotif,442,Gudang A,Tersedia,2522699.44,2025-05-07
72,PRD0072,Produk_72,Pakaian,489,Gudang A,Segera Habis,349864.03,2025-05-07
73,PRD0073,Produk_73,Makanan & Minuman,102,Gudang B,Tersedia,1098689.9,2025-05-09
74,PRD0074,Produk_74,Otomotif,272,Gudang B,Tersedia,4677537.02,2025-05-02
75,PRD0075,Produk_75,Kesehatan,13,Gudang B,Tersedia,2335920.3,2025-05-13
76,PRD0076,Produk_76,Pakaian,158,Gudang B,Habis,2232478.76,2025-05-06
77,PRD0077,Produk_77,Pakaian,151,Gudang C,Segera Habis,82690.1,2025-05-09
78,PRD0078,Produk_78,Makanan & Minuman,482,Gudang A,Habis,1244524.74,2025-05-12
79,PRD0079,Produk_79,Pakaian,107,Gudang C,Segera Habis,4332799.26,2025-05-15
80,PRD0080,Produk_80,Pakaian,187,Gudang A,Tersedia,831495.86,2025-05-12
81,PRD0081,Produk_81,Otomotif,300,Gudang A,Habis,2081473.45,2025-05-15
82,PRD0082,Produk_82,Makanan & Minuman,97,Gudang B,Habis,81511.22,2025-05-02
83,PRD0083,Produk_83,Otomotif,130,Gudang C,Tersedia,2396894.05,2025-05-02
84,PRD0084,Produk_84,Otomotif,292,Gudang B,Segera Habis,114895.32,2025-05-13
85,PRD0085,Produk_85,Makanan & Minuman,170,Gudang C,Tersedia,4099851.67,2025-05-14
86,PRD0086,Produk_86,Elektronik,423,Gudang A,Tersedia,4126020.3,2025-05-05
87,PRD0087,Produk_87,Otomotif,473,Gudang B,Tersedia,3940833.52,2025-05-10
88,PRD0088,Produk_88,Kesehatan,182,Gudang B,Tersedia,1423986.7,2025-05-10
89,PRD0089,Produk_89,Kesehatan,470,Gudang A,Habis,4187813.72,2025-05-12
90,PRD0090,Produk_90,Pakaian,363,Gudang A,Tersedia,2719560.68,2025-05-10
91,PRD0091,Produk_91,Kesehatan,38,Gudang A,Tersedia,1875302.46,2025-05-08
92,PRD0092,Produk_92,Pakaian,14,Gudang B,Tersedia,3130396.5,2025-05-11
93,PRD0093,Produk_93,Elektronik,375,Gudang C,Habis,71581.82,2025-05-15
94,PRD0094,Produk_94,Makanan & Minuman,496,Gudang B,Tersedia,723374.78,2025-05-09
95,PRD0095,Produk_95,Makanan & Minuman,3,Gudang C,Tersedia,3714044.76,2025-05-02
96,PRD0096,Produk_96,Makanan & Minuman,348,Gudang B,Segera Habis,1228366.43,2025-05-05
97,PRD0097,Produk_97,Kesehatan,469,Gudang B,Habis,2994065.5,2025-05-14
98,PRD0098,Produk_98,Elektronik,408,Gudang A,Tersedia,1931661.99,2025-05-07
99,PRD0099,Produk_99,Kesehatan,396,Gudang C,Habis,4275480.84,2025-05-15
100,PRD0100,Produk_100,Kesehatan,209,Gudang B,Habis,4762552.38,2025-05-06
101,PRD0101,Produk_101,Elektronik,160,Gudang B,Habis,4418987.99,2025-05-06
102,PRD0102,Produk_102,Elektronik,15,Gudang A,Tersedia,1360393.77,2025-05-07
103,PRD0103,Produk_103,Elektronik,492,Gudang A,Tersedia,978872.72,2025-05-03
104,PRD0104,Produk_104,Elektronik,425,Gudang C,Tersedia,2377430.12,2025-05-13
105,PRD0105,Produk_105,Makanan & Minuman,107,Gudang B,Tersedia,46597.41,2025-05-03
106,PRD0106,Produk_106,Peralatan Rumah Tangga,381,Gudang C,Tersedia,138788.87,2025-05-10
107,PRD0107,Produk_107,Peralatan Rumah Tangga,449,Gudang B,Tersedia,2770920.29,2025-05-09
108,PRD0108,Produk_108,Elektronik,310,Gudang C,Tersedia,2607042.53,2025-05-14
109,PRD0109,Produk_109,Peralatan Rumah Tangga,226,Gudang A,Tersedia,4972964.13,2025-05-08
110,PRD0110,Produk_110,Peralatan Rumah Tangga,169,Gudang B,Tersedia,1017190.76,2025-05-05
111,PRD0111,Produk_111,Elektronik,33,Gudang C,Habis,1297938.61,2025-05-06
112,PRD0112,Produk_112,Peralatan Rumah Tangga,413,Gudang A,Tersedia,576567.81,2025-05-11
113,PRD0113,Produk_113,Kesehatan,250,Gudang A,Tersedia,4588539.62,2025-05-12
114,PRD0114,Produk_114,Pakaian,246,Gudang C,Habis,3891278.11,2025-05-10
115,PRD0115,Produk_115,Pakaian,268,Gudang B,Tersedia,4113472.17,2025-05-01
116,PRD0116,Produk_116,Elektronik,140,Gudang B,Habis,4514791.3,2025-05-10
117,PRD0117,Produk_117,Makanan & Minuman,273,Gudang A,Habis,2629250.93,2025-05-12
118,PRD0118,Produk_118,Elektronik,415,Gudang B,Tersedia,2261454.03,2025-05-01
119,PRD0119,Produk_119,Makanan & Minuman,95,Gudang B,Habis,1658653.45,2025-05-04
120,PRD0120,Produk_120,Pakaian,226,Gudang B,Tersedia,2950180.93,2025-05-02
121,PRD0121,Produk_121,Elektronik,378,Gudang A,Tersedia,2276849.2,2025-05-11
122,PRD0122,Produk_122,Otomotif,38,Gudang C,Tersedia,2263312.28,2025-05-07
123,PRD0123,Produk_123,Kesehatan,301,Gudang B,Tersedia,4685270.04,2025-05-02
124,PRD0124,Produk_124,Peralatan Rumah Tangga,499,Gudang A,Segera Habis,4920317.26,2025-05-10
125,PRD0125,Produk_125,Makanan & Minuman,28,Gudang A,Tersedia,3984457.1,2025-05-02
126,PRD0126,Produk_126,Otomotif,445,Gudang C,Tersedia,3786222.87,2025-05-05
127,PRD0127,Produk_127,Peralatan Rumah Tangga,496,Gudang B,Tersedia,3405985.23,2025-05-04
128,PRD0128,Produk_128,Peralatan Rumah Tangga,476,Gudang B,Tersedia,838713.51,2025-05-08
129,PRD0129,Produk_129,Elektronik,317,Gudang C,Tersedia,304938.05,2025-05-04
130,PRD0130,Produk_130,Peralatan Rumah Tangga,244,Gudang C,Tersedia,3456724.31,2025-05-14
131,PRD0131,Produk_131,Kesehatan,235,Gudang A,Habis,3646643.25,2025-05-12
132,PRD0132,Produk_132,Otomotif,184,Gudang A,Tersedia,244395.23,2025-05-06
133,PRD0133,Produk_133,Peralatan Rumah Tangga,271,Gudang C,Tersedia,4640978.23,2025-05-05
134,PRD0134,Produk_134,Elektronik,439,Gudang B,Tersedia,464791.79,2025-05-11
135,PRD0135,Produk_135,Kesehatan,235,Gudang A,Tersedia,1436643.66,2025-05-14
136,PRD0136,Produk_136,Pakaian,238,Gudang A,Habis,3365225.17,2025-05-02
137,PRD0137,Produk_137,Otomotif,376,Gudang B,Tersedia,857664.25,2025-05-11
138,PRD0138,Produk_138,Peralatan Rumah Tangga,265,Gudang A,Tersedia,286525.28,2025-05-15
139,PRD0139,Produk_139,Elektronik,413,Gudang B,Tersedia,1662420.98,2025-05-13
140,PRD0140,Produk_140,Pakaian,408,Gudang B,Habis,3832198.16,2025-05-12
141,PRD0141,Produk_141,Pakaian,358,Gudang B,Tersedia,2074256.61,2025-05-14
142,PRD0142,Produk_142,Makanan & Minuman,339,Gudang C,Tersedia,3268334.88,2025-05-08
143,PRD0143,Produk_143,Kesehatan,388,Gudang C,Habis,2902299.3,2025-05-02
144,PRD0144,Produk_144,Peralatan Rumah Tangga,64,Gudang C,Tersedia,120870.23,2025-05-09
145,PRD0145,Produk_145,Elektronik,477,Gudang B,Habis,4942814.54,2025-05-15
146,PRD0146,Produk_146,Makanan & Minuman,176,Gudang B,Habis,216726.16,2025-05-09
147,PRD0147,Produk_147,Kesehatan,2,Gudang C,Tersedia,4839335.66,2025-05-03
148,PRD0148,Produk_148,Makanan & Minuman,428,Gudang A,Tersedia,2753822.25,2025-05-04
149,PRD0149,Produk_149,Otomotif,141,Gudang B,Tersedia,4816163.55,2025-05-08
150,PRD0150,Produk_150,Kesehatan,375,Gudang A,Tersedia,582620.46,2025-05-09
151,PRD0151,Produk_151,Kesehatan,157,Gudang A,Segera Habis,2457138.51,2025-05-03
152,PRD0152,Produk_152,Peralatan Rumah Tangga,497,Gudang B,Tersedia,855825.42,2025-05-05
153,PRD0153,Produk_153,Kesehatan,323,Gudang B,Tersedia,264364.64,2025-05-11
154,PRD0154,Produk_154,Makanan & Minuman,145,Gudang A,Habis,3091470.28,2025-05-15
155,PRD0155,Produk_155,Kesehatan,445,Gudang A,Tersedia,1046839.27,2025-05-08
156,PRD0156,Produk_156,Peralatan Rumah Tangga,292,Gudang C,Tersedia,2942608.12,2025-05-03
157,PRD0157,Produk_157,Peralatan Rumah Tangga,152,Gudang C,Tersedia,570698.76,2025-05-07
158,PRD0158,Produk_158,Otomotif,431,Gudang B,Tersedia,1666612.49,2025-05-11
159,PRD0159,Produk_159,Makanan & Minuman,192,Gudang C,Habis,3910346.46,2025-05-08
160,PRD0160,Produk_160,Pakaian,436,Gudang C,Tersedia,2190887.09,2025-05-10
161,PRD0161,Produk_161,Pakaian,493,Gudang C,Tersedia,3142449.62,2025-05-11
162,PRD0162,Produk_162,Kesehatan,462,Gudang C,Tersedia,3240815.12,2025-05-14
163,PRD0163,Produk_163,Otomotif,72,Gudang A,Tersedia,4220337.67,2025-05-03
164,PRD0164,Produk_164,Elektronik,398,Gudang B,Tersedia,1631364.74,2025-05-02
165,PRD0165,Produk_165,Kesehatan,304,Gudang C,Tersedia,3439604.86,2025-05-10
166,PRD0166,Produk_166,Otomotif,376,Gudang A,Tersedia,4808462.88,2025-05-13
167,PRD0167,Produk_167,Makanan & Minuman,343,Gudang A,Segera Habis,3653914.24,2025-05-07
168,PRD0168,Produk_168,Makanan & Minuman,451,Gudang A,Tersedia,2454453.68,2025-05-12
169,PRD0169,Produk_169,Makanan & Minuman,139,Gudang C,Tersedia,3157280.05,2025-05-09
170,PRD0170,Produk_170,Makanan & Minuman,186,Gudang C,Tersedia,3701017.66,2025-05-01
171,PRD0171,Produk_171,Makanan & Minuman,292,Gudang B,Habis,3065256.07,2025-05-03
172,PRD0172,Produk_172,Otomotif,60,Gudang C,Habis,93212.31,2025-05-05
173,PRD0173,Produk_173,Otomotif,484,Gudang C,Tersedia,981919.75,2025-05-03
174,PRD0174,Produk_174,Peralatan Rumah Tangga,426,Gudang A,Segera Habis,4054236.4,2025-05-01
175,PRD0175,Produk_175,Pakaian,379,Gudang B,Tersedia,1370526.73,2025-05-15
176,PRD0176,Produk_176,Makanan & Minuman,197,Gudang C,Tersedia,3660494.98,2025-05-07
177,PRD0177,Produk_177,Elektronik,294,Gudang C,Tersedia,1866879.87,2025-05-07
178,PRD0178,Produk_178,Otomotif,439,Gudang A,Tersedia,2614202.8,2025-05-10
179,PRD0179,Produk_179,Elektronik,318,Gudang A,Habis,349186.77,2025-05-12
180,PRD0180,Produk_180,Elektronik,301,Gudang C,Tersedia,914315.55,2025-05-08
181,PRD0181,Produk_181,Elektronik,343,Gudang B,Tersedia,4786412.85,2025-05-05
182,PRD0182,Produk_182,Peralatan Rumah Tangga,10,Gudang B,Habis,4451788.89,2025-05-10
183,PRD0183,Produk_183,Otomotif,61,Gudang A,Tersedia,3264852.8,2025-05-12
184,PRD0184,Produk_184,Elektronik,332,Gudang A,Tersedia,2303626.54,2025-05-05
185,PRD0185,Produk_185,Makanan & Minuman,225,Gudang C,Tersedia,3382048.85,2025-05-05
186,PRD0186,Produk_186,Kesehatan,152,Gudang A,Tersedia,3096865.34,2025-05-01
187,PRD0187,Produk_187,Elektronik,198,Gudang C,Tersedia,2847075.76,2025-05-10
188,PRD0188,Produk_188,Peralatan Rumah Tangga,51,Gudang B,Tersedia,305293.59,2025-05-05
189,PRD0189,Produk_189,Otomotif,259,Gudang B,Tersedia,3167685.03,2025-05-06
190,PRD0190,Produk_190,Peralatan Rumah Tangga,58,Gudang C,Tersedia,3846911.02,2025-05-15
191,PRD0191,Produk_191,Elektronik,71,Gudang A,Habis,4970467.46,2025-05-13
192,PRD0192,Produk_192,Otomotif,147,Gudang B,Tersedia,65281.98,2025-05-12
193,PRD0193,Produk_193,Kesehatan,348,Gudang A,Tersedia,3653565.53,2025-05-01
194,PRD0194,Produk_194,Elektronik,62,Gudang B,Tersedia,2863228.69,2025-05-11
195,PRD0195,Produk_195,Peralatan Rumah Tangga,309,Gudang C,Tersedia,2175920.36,2025-05-07
196,PRD0196,Produk_196,Pakaian,372,Gudang C,Tersedia,646575.17,2025-05-01
197,PRD0197,Produk_197,Makanan & Minuman,242,Gudang C,Tersedia,2051334.89,2025-05-11
198,PRD0198,Produk_198,Peralatan Rumah Tangga,492,Gudang B,Tersedia,1778342.14,2025-05-02
199,PRD0199,Produk_199,Otomotif,365,Gudang A,Segera Habis,1521121.15,2025-05-02
200,PRD0200,Produk_200,Elektronik,329,Gudang A,Tersedia,3657089.32,2025-05-05
201,PRD0201,Produk_201,Makanan & Minuman,106,Gudang A,Habis,3506620.35,2025-05-14
202,PRD0202,Produk_202,Elektronik,225,Gudang B,Tersedia,2949210.25,2025-05-10
203,PRD0203,Produk_203,Otomotif,312,Gudang B,Habis,4693937.42,2025-05-13
204,PRD0204,Produk_204,Elektronik,217,Gudang B,Tersedia,1755773.38,2025-05-07
205,PRD0205,Produk_205,Pakaian,424,Gudang B,Habis,1226571.67,2025-05-01
206,PRD0206,Produk_206,Makanan & Minuman,240,Gudang B,Tersedia,3282957.53,2025-05-10
207,PRD0207,Produk_207,Makanan & Minuman,258,Gudang A,Tersedia,1002082.16,2025-05-01
208,PRD0208,Produk_208,Otomotif,375,Gudang B,Tersedia,1581902.43,2025-05-01
209,PRD0209,Produk_209,Pakaian,261,Gudang B,Habis,1130766.18,2025-05-06
210,PRD0210,Produk_210,Peralatan Rumah Tangga,4,Gudang A,Tersedia,355076.3,2025-05-02
211,PRD0211,Produk_211,Elektronik,260,Gudang B,Tersedia,4139218.72,2025-05-01
212,PRD0212,Produk_212,Kesehatan,53,Gudang A,Tersedia,1280157.31,2025-05-06
213,PRD0213,Produk_213,Elektronik,46,Gudang A,Tersedia,2370407.24,2025-05-14
214,PRD0214,Produk_214,Elektronik,214,Gudang C,Tersedia,226143.21,2025-05-02
215,PRD0215,Produk_215,Peralatan Rumah Tangga,176,Gudang C,Tersedia,3499703.94,2025-05-06
216,PRD0216,Produk_216,Elektronik,8,Gudang C,Segera Habis,1659499.4,2025-05-10
217,PRD0217,Produk_217,Pakaian,98,Gudang C,Habis,3726236.27,2025-05-08
218,PRD0218,Produk_218,Pakaian,19,Gudang B,Segera Habis,2067891.27,2025-05-02
219,PRD0219,Produk_219,Makanan & Minuman,377,Gudang C,Tersedia,986820.48,2025-05-11
220,PRD0220,Produk_220,Otomotif,240,Gudang A,Habis,2570743.66,2025-05-09
221,PRD0221,Produk_221,Kesehatan,60,Gudang B,Habis,661217.75,2025-05-08
222,PRD0222,Produk_222,Elektronik,378,Gudang C,Tersedia,2208290.41,2025-05-12
223,PRD0223,Produk_223,Elektronik,489,Gudang A,Tersedia,1593354.33,2025-05-10
224,PRD0224,Produk_224,Peralatan Rumah Tangga,418,Gudang B,Tersedia,4560678.33,2025-05-01
225,PRD0225,Produk_225,Otomotif,177,Gudang B,Habis,314034.32,2025-05-07
226,PRD0226,Produk_226,Pakaian,337,Gudang C,Tersedia,3473146.9,2025-05-14
227,PRD0227,Produk_227,Kesehatan,61,Gudang B,Tersedia,921928.32,2025-05-13
228,PRD0228,Produk_228,Makanan & Minuman,144,Gudang A,Tersedia,1602034.92,2025-05-10
229,PRD0229,Produk_229,Pakaian,215,Gudang B,Segera Habis,2083415.17,2025-05-06
230,PRD0230,Produk_230,Otomotif,2,Gudang A,Habis,4540995.3,2025-05-14
231,PRD0231,Produk_231,Makanan & Minuman,159,Gudang B,Segera Habis,1220465.55,2025-05-06
232,PRD0232,Produk_232,Peralatan Rumah Tangga,226,Gudang C,Tersedia,465630.92,2025-05-06
233,PRD0233,Produk_233,Peralatan Rumah Tangga,485,Gudang A,Tersedia,1600261.12,2025-05-06
234,PRD0234,Produk_234,Elektronik,268,Gudang B,Tersedia,532333.09,2025-05-10
235,PRD0235,Produk_235,Otomotif,119,Gudang B,Tersedia,651696.46,2025-05-07
236,PRD0236,Produk_236,Kesehatan,380,Gudang B,Tersedia,2873514.48,2025-05-12
237,PRD0237,Produk_237,Makanan & Minuman,494,Gudang A,Tersedia,313900.65,2025-05-03
238,PRD0238,Produk_238,Pakaian,88,Gudang A,Tersedia,164345.1,2025-05-14
239,PRD0239,Produk_239,Otomotif,328,Gudang A,Tersedia,3574926.37,2025-05-06
240,PRD0240,Produk_240,Otomotif,67,Gudang C,Segera Habis,1814619.0,2025-05-03
241,PRD0241,Produk_241,Peralatan Rumah Tangga,397,Gudang C,Tersedia,635622.99,2025-05-07
242,PRD0242,Produk_242,Elektronik,356,Gudang A,Habis,1275527.73,2025-05-07
243,PRD0243,Produk_243,Elektronik,97,Gudang B,Tersedia,3214011.67,2025-05-08
244,PRD0244,Produk_244,Makanan & Minuman,266,Gudang C,Tersedia,1384927.47,2025-05-02
245,PRD0245,Produk_245,Peralatan Rumah Tangga,104,Gudang A,Tersedia,2477660.41,2025-05-09
246,PRD0246,Produk_246,Otomotif,439,Gudang B,Tersedia,617259.58,2025-05-13
247,PRD0247,Produk_247,Kesehatan,322,Gudang C,Tersedia,2944587.25,2025-05-05
248,PRD0248,Produk_248,Peralatan Rumah Tangga,122,Gudang B,Tersedia,1587227.64,2025-05-09
249,PRD0249,Produk_249,Makanan & Minuman,475,Gudang B,Tersedia,3138572.49,2025-05-10
250,PRD0250,Produk_250,Makanan & Minuman,28,Gudang B,Tersedia,4043890.46,2025-05-05
251,PRD0251,Produk_251,Peralatan Rumah Tangga,136,Gudang B,Tersedia,3062115.63,2025-05-07
252,PRD0252,Produk_252,Makanan & Minuman,194,Gudang C,Segera Habis,1485780.34,2025-05-11
253,PRD0253,Produk_253,Peralatan Rumah Tangga,408,Gudang C,Habis,1286161.07,2025-05-09
254,PRD0254,Produk_254,Pakaian,225,Gudang C,Habis,1643830.58,2025-05-15
255,PRD0255,Produk_255,Peralatan Rumah Tangga,331,Gudang A,Tersedia,831456.36,2025-05-04
256,PRD0256,Produk_256,Peralatan Rumah Tangga,169,Gudang C,Habis,914047.54,2025-05-02
257,PRD0257,Produk_257,Makanan & Minuman,8,Gudang B,Habis,3955548.6,2025-05-09
258,PRD0258,Produk_258,Makanan & Minuman,462,Gudang C,Tersedia,1929815.56,2025-05-13
259,PRD0259,Produk_259,Elektronik,39,Gudang B,Segera Habis,2185615.95,2025-05-02
260,PRD0260,Produk_260,Elektronik,24,Gudang A,Tersedia,2974306.83,2025-05-03
261,PRD0261,Produk_261,Pakaian,260,Gudang B,Segera Habis,2952370.94,2025-05-10
262,PRD0262,Produk_262,Elektronik,394,Gudang B,Segera Habis,346210.59,2025-05-02
263,PRD0263,Produk_263,Peralatan Rumah Tangga,442,Gudang B,Tersedia,4159388.52,2025-05-03
264,PRD0264,Produk_264,Makanan & Minuman,225,Gudang A,Tersedia,894859.5,2025-05-06
265,PRD0265,Produk_265,Elektronik,471,Gudang C,Segera Habis,3618127.46,2025-05-03
266,PRD0266,Produk_266,Elektronik,123,Gudang C,Tersedia,3865628.23,2025-05-15
267,PRD0267,Produk_267,Pakaian,462,Gudang A,Tersedia,3577348.68,2025-05-10
268,PRD0268,Produk_268,Otomotif,37,Gudang B,Segera Habis,2899098.46,2025-05-08
269,PRD0269,Produk_269,Pakaian,327,Gudang C,Tersedia,82898.9,2025-05-11
270,PRD0270,Produk_270,Peralatan Rumah Tangga,250,Gudang A,Tersedia,1808273.71,2025-05-06
271,PRD0271,Produk_271,Makanan & Minuman,388,Gudang C,Tersedia,3028148.75,2025-05-07
272,PRD0272,Produk_272,Pakaian,175,Gudang A,Tersedia,1943381.97,2025-05-01
273,PRD0273,Produk_273,Elektronik,89,Gudang B,Tersedia,4318764.68,2025-05-03
274,PRD0274,Produk_274,Makanan & Minuman,401,Gudang C,Tersedia,1550923.35,2025-05-03
275,PRD0275,Produk_275,Makanan & Minuman,453,Gudang A,Tersedia,1474738.61,2025-05-02
276,PRD0276,Produk_276,Elektronik,36,Gudang C,Tersedia,1337328.49,2025-05-07
277,PRD0277,Produk_277,Pakaian,315,Gudang C,Habis,1670576.54,2025-05-09
278,PRD0278,Produk_278,Elektronik,175,Gudang C,Tersedia,2791450.77,2025-05-04
279,PRD0279,Produk_279,Otomotif,460,Gudang C,Tersedia,3538006.32,2025-05-12
280,PRD0280,Produk_280,Makanan & Minuman,283,Gudang A,Tersedia,3316213.91,2025-05-05
281,PRD0281,Produk_281,Kesehatan,452,Gudang B,Tersedia,4040511.92,2025-05-03
282,PRD0282,Produk_282,Kesehatan,460,Gudang A,Tersedia,4430710.84,2025-05-11
283,PRD0283,Produk_283,Peralatan Rumah Tangga,80,Gudang A,Tersedia,4082234.42,2025-05-09
284,PRD0284,Produk_284,Elektronik,113,Gudang A,Segera Habis,104537.56,2025-05-14
